name,year,age,selling_price_INR,selling_price_USD,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Maruti Alto LX,2002,18,"150,000.00",1950.00,80000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,4,"680,000.00",8840.00,100000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5
Mahindra Verito 1.5 D4 BSIII,2011,9,"174,000.00",2262.00,100000,Diesel,Individual,Manual,Second Owner,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5
Honda WR-V i-DTEC VX,2017,3,"950,000.00",12350.00,50000,Diesel,Individual,Manual,First Owner,25.5 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
Maruti Swift Dzire ZDI,2015,5,"525,000.00",6825.00,40000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti SX4 ZDI,2012,8,"600,000.00",7800.00,72000,Diesel,Individual,Manual,First Owner,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5
Tata Tigor 2017-2020 XZ,2018,2,"500,000.00",6500.00,35000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,83.81 bhp,114Nm@ 3500rpm,5
Maruti Baleno Delta 1.2,2016,4,"575,000.00",7475.00,45000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5
Maruti Alto 800 LXI,2017,3,"275,000.00",3575.00,28000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,7,"300,000.00",3900.00,70000,Diesel,Individual,Manual,First Owner,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7
Maruti Wagon R LXI Minor,2009,11,"220,000.00",2860.00,120000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5
Maruti Omni E MPI STD BS IV,2018,2,"254,999.00",3314.99,25000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,8
Maruti Vitara Brezza LDi Option,2017,3,"670,000.00",8710.00,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Fiat Palio 1.2 ELX,2003,17,"70,000.00",910.00,50000,Petrol,Individual,Manual,Second Owner,,,,,
Maruti Omni 8 Seater BSIV,2012,8,"150,000.00",1950.00,35000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5
Hyundai i20 1.2 Asta Dual Tone,2018,2,"730,000.00",9490.00,2388,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5
Maruti Vitara Brezza LDi,2017,3,"650,000.00",8450.00,16200,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Maruti Alto 800 CNG LXI Optional,2019,1,"330,000.00",4290.00,10000,CNG,Individual,Manual,Second Owner,33.44 km/kg,796 CC,40.3 bhp,60Nm@ 3500rpm,4
Maruti Alto K10 VXI Airbag,2019,1,"366,000.00",4758.00,15000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Hyundai Verna VTVT 1.6 SX Option,2019,1,"1,149,000.00",14937.00,5000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5
Datsun GO D,2016,4,"150,000.00",1950.00,42000,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5
Tata Safari DICOR 2.2 LX 4x2,2011,9,"425,000.00",5525.00,60000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7
Maruti 800 Std,2012,8,"150,000.00",1950.00,76000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4
Jeep Compass 1.4 Limited Plus BSIV,2019,1,"2,100,000.00",27300.00,5000,Petrol,Individual,Automatic,First Owner,16.0 kmpl,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm,5
Honda City i VTEC VX,2018,2,"925,000.00",12025.00,28900,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5
Honda City V MT,2013,7,"425,000.00",5525.00,86300,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5
Maruti Swift Dzire VXi AT,2018,2,"675,000.00",8775.00,23300,Petrol,Dealer,Automatic,First Owner,18.5 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5
Maruti Vitara Brezza VDi,2018,2,"819,999.00",10659.99,32600,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Maruti Alto K10 VXI,2018,2,"390,000.00",5070.00,10300,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5
Toyota Fortuner 4x4 MT,2014,6,"1,500,000.00",19500.00,77000,Diesel,Dealer,Manual,First Owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,7,"700,000.00",9100.00,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7
Mercedes-Benz B Class B180,2014,6,"1,450,000.00",18850.00,27800,Diesel,Dealer,Automatic,Second Owner,14.8 kmpl,2143 CC,120.7 bhp,200Nm@ 1250-4000rpm,5
Honda Amaze S Diesel,2015,5,"425,000.00",5525.00,49800,Diesel,Dealer,Manual,First Owner,24.7 kmpl,1498 CC,98.63 bhp,200Nm@ 1750rpm,5
Mitsubishi Pajero Sport 4X4,2013,7,"1,090,000.00",14170.00,151000,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7
Honda City i DTEC S,2015,5,"600,000.00",7800.00,54700,Diesel,Dealer,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
Maruti Ciaz Zeta,2018,2,"850,000.00",11050.00,64000,Petrol,Dealer,Manual,First Owner,20.65 kmpl,1462 CC,103.25 bhp,138Nm@ 4400rpm,5
Honda Jazz VX Diesel,2015,5,"525,000.00",6825.00,63000,Diesel,Dealer,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,4,"1,650,000.00",21450.00,127700,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,4,"950,000.00",12350.00,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7
Audi A6 2.0 TDI Technology,2013,7,"1,750,000.00",22750.00,33900,Diesel,Dealer,Automatic,Second Owner,17.68 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5
Toyota Corolla Altis 1.8 VL CVT,2018,2,"1,590,000.00",20670.00,25000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5
Audi A6 2.0 TDI  Design Edition,2013,7,"1,689,999.00",21969.99,50000,Diesel,Dealer,Automatic,First Owner,18.53 kmpl,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5
Mercedes-Benz New C-Class 220 CDI AT,2013,7,"1,425,000.00",18525.00,59000,Diesel,Dealer,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5
Tata Manza ELAN Quadrajet BS IV,2011,9,"265,000.00",3445.00,120000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5
Hyundai i10 Magna,2011,9,"190,000.00",2470.00,110000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5
Hyundai i20 Asta 1.4 CRDi,2013,7,"425,000.00",5525.00,60000,Diesel,Individual,Manual,First Owner,21.27 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5
Maruti Swift Dzire ZDI,2015,5,"630,000.00",8190.00,147000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Ford Figo 1.2P Titanium MT,2017,3,"600,000.00",7800.00,25000,Petrol,Individual,Manual,Third Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5
Maruti Baleno Delta 1.2,2019,1,"650,000.00",8450.00,30000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,4,"540,000.00",7020.00,40000,Diesel,Individual,Manual,First Owner,22.0 kmpl,1498 CC,108.495 bhp,250Nm@ 1500-3000rpm,5
Honda City i DTEC VX,2015,5,"630,000.00",8190.00,135000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
Maruti Wagon R AMT VXI,2018,2,"448,000.00",5824.00,30000,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5
Volkswagen Ameo 1.5 TDI Comfortline,2017,3,"500,000.00",6500.00,80000,Diesel,Individual,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5
Maruti Vitara Brezza VDi,2016,4,"745,000.00",9685.00,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Maruti Vitara Brezza ZDi Plus AMT,2019,1,"1,025,000.00",13325.00,9850,Diesel,Individual,Automatic,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Hyundai i10 Magna,2011,9,"235,000.00",3055.00,60000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5
Maruti Swift VDI Deca,2016,4,"630,000.00",8190.00,70000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Toyota Fortuner 4x4 MT,2015,5,"1,700,000.00",22100.00,78000,Diesel,Individual,Manual,Second Owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7
Maruti Swift Star VDI,2013,7,"450,000.00",5850.00,120000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti Ertiga ZXI,2012,8,"450,000.00",5850.00,120000,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7
Tata Indica DLS,2003,17,"50,000.00",650.00,70000,Diesel,Individual,Manual,First Owner,,,,,
Volkswagen Vento Diesel Highline,2013,7,"450,000.00",5850.00,170000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,4,"1,200,000.00",15600.00,140000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,5,"610,000.00",7930.00,90000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5
BMW X1 sDrive20i xLine,2016,4,"2,500,000.00",32500.00,30000,Petrol,Individual,Automatic,Second Owner,15.71 kmpl,1998 CC,189 bhp,280Nm@ 1350-4600rpm,5
Maruti Celerio ZXI MT BSIV,2017,3,"484,999.00",6304.99,10000,Petrol,Dealer,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Datsun GO A Petrol,2016,4,"275,000.00",3575.00,49000,Petrol,Dealer,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,5
Maruti Alto 800 VXI BSIV,2016,4,"315,000.00",4095.00,32000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Maruti Alto 800 LXI BSIV,2016,4,"275,000.00",3575.00,38000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Maruti Swift VDI BSIV W ABS,2015,5,"475,000.00",6175.00,78000,Diesel,Dealer,Manual,First Owner,,,,,
Hyundai i10 Era 1.1,2012,8,"290,000.00",3770.00,28000,Petrol,Dealer,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5
Maruti Omni 8 Seater BSIV,2017,3,"280,000.00",3640.00,32000,Petrol,Dealer,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5
Maruti Wagon R LXI LPG BSIV,2010,10,"225,000.00",2925.00,44000,LPG,Dealer,Manual,First Owner,26.2 km/kg,998 CC,58.2 bhp,77Nm@ 3500rpm,5
Volkswagen Polo 1.2 MPI Comfortline,2015,5,"455,000.00",5915.00,42000,Petrol,Dealer,Manual,First Owner,16.47 kmpl,1198 CC,74 bhp,110Nm@ 3750rpm,5
Hyundai i10 Magna 1.1L,2015,5,"351,000.00",4563.00,45000,Petrol,Dealer,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5
Volkswagen Vento Petrol Highline,2012,8,"535,000.00",6955.00,12000,Petrol,Dealer,Manual,Second Owner,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5
Maruti Zen Estilo LXI BSIII,2009,11,"175,000.00",2275.00,55500,Petrol,Dealer,Manual,First Owner,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Hyundai i20 Asta Optional with Sunroof 1.2,2013,7,"525,000.00",6825.00,61500,Petrol,Dealer,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5
Maruti Swift Dzire LDI,2016,4,"600,000.00",7800.00,150000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Hyundai Xcent 1.2 Kappa SX Option AT,2016,4,"565,000.00",7345.00,72000,Petrol,Dealer,Automatic,First Owner,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5
Maruti Alto LX BSIII,2008,12,"120,000.00",1560.00,68000,Petrol,Dealer,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Hyundai i20 1.4 Asta Option,2017,3,"725,000.00",9425.00,110000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5
Maruti Wagon R VXI,2009,11,"185,000.00",2405.00,77000,Petrol,Dealer,Manual,Second Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5
Tata Manza Aura (ABS) Quadrajet,2010,10,"200,000.00",2600.00,100000,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5
Maruti Swift VXI,2019,1,"615,000.00",7995.00,10000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Maruti Eeco 7 Seater Standard BSIV,2016,4,"270,000.00",3510.00,100000,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,7
Maruti Baleno Zeta 1.2,2018,2,"610,000.00",7930.00,35000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,6,"625,000.00",8125.00,70000,Diesel,Individual,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8
Ford Freestyle Titanium Petrol BSIV,2020,0,"400,000.00",5200.00,5000,Petrol,Individual,Manual,Second Owner,19.0 kmpl,1194 CC,94.68 bhp,120Nm@ 4250rpm,5
Hyundai Verna VTVT 1.6 SX,2017,3,"866,000.00",11258.00,37800,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5
Volkswagen Passat 1.8 TSI MT,2010,10,"700,000.00",9100.00,114000,Petrol,Individual,Manual,First Owner,14.3 kmpl,1798 CC,160 bhp,250Nm@ 1500~4500rpm,5
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,10,"300,000.00",3900.00,48000,Petrol,Individual,Manual,First Owner,15.8 kmpl,1172 CC,65 bhp,96 Nm at 3000 rpm,5
Mahindra XUV500 W11 Option AWD,2019,1,"1,700,000.00",22100.00,32000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,155 bhp,360Nm@ 1750-2800rpm,7
Tata Indigo CS LS (TDI) BS-III,2016,4,"375,000.00",4875.00,100000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5
Hyundai Verna 1.6 SX,2013,7,"522,000.00",6786.00,150000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,7,"451,999.00",5875.99,69000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5
Toyota Corolla Altis G,2009,11,"300,000.00",3900.00,100000,Petrol,Individual,Manual,Second Owner,14.53 kmpl,1798 CC,138.1 bhp,173Nm@ 4000rpm,5
Maruti Celerio VXI,2020,0,"475,000.00",6175.00,13000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,4,"780,000.00",10140.00,60000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Maruti Swift Dzire VXI,2017,3,"595,000.00",7735.00,40000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5
Maruti Wagon R VXI BS IV,2017,3,"440,000.00",5720.00,35000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Maruti Swift VDI BSIV,2010,10,"300,000.00",3900.00,120000,Diesel,Individual,Manual,Second Owner,,,,,
Nissan Terrano XL 85 PS,2014,6,"400,000.00",5200.00,70000,Diesel,Individual,Manual,Third Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5
Hyundai Creta 1.6 CRDi SX,2016,4,"1,140,000.00",14820.00,50000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,3,"850,000.00",11050.00,76139,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5
Maruti Swift Dzire VDi,2012,8,"370,000.00",4810.00,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5
Renault KWID 1.0,2018,2,"350,000.00",4550.00,25000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5
Maruti Celerio VXI,2015,5,"360,000.00",4680.00,40000,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Maruti Alto LXi,2008,12,"105,000.00",1365.00,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Maruti Ertiga VDI,2013,7,"625,000.00",8125.00,90000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7
Hyundai Santro Xing GLS,2009,11,"135,000.00",1755.00,80000,Petrol,Individual,Manual,Second Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5
Maruti Ertiga VDI,2015,5,"700,000.00",9100.00,110000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7
Honda Amaze S i-VTEC,2019,1,"690,000.00",8970.00,1303,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5
Audi Q5 35TDI Premium Plus,2018,2,"3,975,000.00",51675.00,31800,Diesel,Dealer,Automatic,First Owner,17.01 kmpl,1968 CC,188 bhp,400nm@ 1750-3000rpm,5
Lexus ES 300h,2019,1,"5,150,000.00",66950.00,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5
Jaguar XF 2.0 Diesel Portfolio,2017,3,"3,200,000.00",41600.00,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5
Jeep Wrangler 2016-2019 3.6 4X4,2017,3,"4,100,000.00",53300.00,17000,Petrol,Individual,Automatic,First Owner,9.5 kmpl,3604 CC,280 bhp,347Nm@ 4300rpm,5
Land Rover Discovery Sport TD4 SE,2019,1,"4,500,000.00",58500.00,21000,Diesel,Dealer,Automatic,First Owner,12.83 kmpl,1999 CC,148.31 bhp,382nm@ 1750-2250rpm,7
Mercedes-Benz S-Class S 350 CDI,2017,3,"6,000,000.00",78000.00,37000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,254.79 bhp,620Nm@ 1600-2400rpm,5
BMW 5 Series 520d Sport Line,2018,2,"3,790,000.00",49270.00,29500,Diesel,Dealer,Automatic,First Owner,22.48 kmpl,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm,5
BMW X1 sDrive 20D xLine,2017,3,"2,150,000.00",27950.00,27000,Diesel,Dealer,Automatic,First Owner,,,,,
BMW X4 M Sport X xDrive20d,2019,1,"5,800,000.00",75400.00,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5
Skoda Superb LK 1.8 TSI AT,2018,2,"1,864,999.00",24244.99,50000,Petrol,Dealer,Automatic,First Owner,14.67 kmpl,1798 CC,177.46 bhp,250@ 1250-5000rpm,5
Mercedes-Benz E-Class E250 Edition E,2016,4,"2,700,000.00",35100.00,35000,Diesel,Dealer,Automatic,First Owner,15.0 kmpl,2143 CC,204 bhp,500Nm@ 1600-1800rpm,5
MG Hector Sharp AT BSIV,2019,1,"1,750,000.00",22750.00,19000,Petrol,Dealer,Automatic,First Owner,13.96 kmpl,1451 CC,141 bhp,250Nm@ 1600-3600rpm,5
Honda City i-VTEC CVT VX,2017,3,"795,000.00",10335.00,41000,Petrol,Dealer,Automatic,First Owner,18.0 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5
Toyota Corolla Altis 1.8 G CVT,2013,7,"625,000.00",8125.00,39000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5
Volvo XC40 D4 R-Design,2018,2,"3,400,000.00",44200.00,22000,Diesel,Dealer,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,400Nm,5
Audi Q7 35 TDI Quattro Premium,2015,5,"2,650,000.00",34450.00,53000,Diesel,Dealer,Automatic,First Owner,12.07 kmpl,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7
